workerid,proliferate.condition,accuracy,accuracy_bool,alter_ball_visible,alter_can_infer,alter_occluders,ball_pos,character_choice,collective_ball_visible,collective_can_infer,ego_ball_visible,ego_can_infer,ego_occluders,internal_node_id,response,rt,search_locations,stimulus,time_elapsed,trial,trial_index,trial_type,error
332,Experiment 5,False,0,True,True,110,2,2,False,False,False,False,011,0.0-99.0,1,575,[2],stimuli/2110011.jpg,113460,prediction_trial,124,image-keyboard-response,
332,Experiment 5,False,0,False,False,111,0,0,False,False,False,False,101,0.0-101.0,2,750,[0],stimuli/0111101.jpg,114363,prediction_trial,126,image-keyboard-response,
332,Experiment 5,True,1,False,True,010,1,1,False,True,True,True,000,0.0-103.0,1,688,[1],stimuli/1010000.jpg,115172,prediction_trial,128,image-keyboard-response,
332,Experiment 5,True,1,True,True,101,1,1,True,True,True,True,000,0.0-105.0,1,511,[1],stimuli/1101000.jpg,115812,prediction_trial,130,image-keyboard-response,
332,Experiment 5,False,0,True,True,000,0,0,False,False,False,False,111,0.0-107.0,1,560,[0],stimuli/0000111.jpg,116477,prediction_trial,132,image-keyboard-response,
332,Experiment 5,True,1,False,True,010,1,1,False,False,False,False,011,0.0-109.0,1,510,[1],stimuli/1010011.jpg,117420,prediction_trial,134,image-keyboard-response,
332,Experiment 5,False,0,False,False,110,0,0,False,False,False,False,111,0.0-111.0,1,543,[0],stimuli/0110111.jpg,118308,prediction_trial,136,image-keyboard-response,
332,Experiment 5,True,1,False,False,110,0,0,False,False,True,True,011,0.0-113.0,0,687,[0],stimuli/0110011.jpg,119309,prediction_trial,138,image-keyboard-response,
332,Experiment 5,True,1,False,False,011,1,1,False,False,True,True,100,0.0-115.0,1,511,[1],stimuli/1011100.jpg,119995,prediction_trial,140,image-keyboard-response,
332,Experiment 5,True,1,False,False,101,2,2,False,False,False,False,011,0.0-117.0,2,672,[2],stimuli/2101011.jpg,120805,prediction_trial,142,image-keyboard-response,
332,Experiment 5,False,0,True,True,001,0,0,False,False,False,False,110,0.0-119.0,1,751,[0],stimuli/0001110.jpg,121708,prediction_trial,144,image-keyboard-response,
332,Experiment 5,True,1,True,True,000,0,0,False,False,False,False,101,0.0-121.0,0,822,[0],stimuli/0000101.jpg,122676,prediction_trial,146,image-keyboard-response,
332,Experiment 5,True,1,True,True,011,0,0,False,True,False,True,100,0.0-123.0,0,845,[0],stimuli/0011100.jpg,123636,prediction_trial,148,image-keyboard-response,
332,Experiment 5,True,1,False,False,110,0,0,False,False,True,True,010,0.0-125.0,0,607,[0],stimuli/0110010.jpg,124371,prediction_trial,150,image-keyboard-response,
332,Experiment 5,True,1,False,True,010,1,1,False,True,False,True,010,0.0-127.0,1,648,[1],stimuli/1010010.jpg,125117,prediction_trial,152,image-keyboard-response,
332,Experiment 5,False,0,False,False,111,2,2,False,False,False,False,101,0.0-129.0,0,623,[2],stimuli/2111101.jpg,125852,prediction_trial,154,image-keyboard-response,
332,Experiment 5,True,1,False,False,011,2,2,False,False,True,True,000,0.0-131.0,2,567,[2],stimuli/2011000.jpg,126525,prediction_trial,156,image-keyboard-response,
332,Experiment 5,True,1,False,False,111,2,2,False,False,True,True,110,0.0-133.0,2,494,[2],stimuli/2111110.jpg,127140,prediction_trial,158,image-keyboard-response,
332,Experiment 5,True,1,True,True,100,2,2,True,True,True,True,100,0.0-135.0,2,536,[2],stimuli/2100100.jpg,127773,prediction_trial,160,image-keyboard-response,
332,Experiment 5,True,1,False,True,010,1,1,False,True,True,True,001,0.0-137.0,1,543,[1],stimuli/1010001.jpg,128381,prediction_trial,162,image-keyboard-response,
332,Experiment 5,False,0,True,True,001,1,1,False,False,False,False,110,0.0-139.0,0,1192,[1],stimuli/1001110.jpg,129637,prediction_trial,164,image-keyboard-response,
332,Experiment 5,True,1,True,True,010,2,2,True,True,True,True,000,0.0-141.0,2,537,[2],stimuli/2010000.jpg,130246,prediction_trial,166,image-keyboard-response,
332,Experiment 5,False,0,True,True,011,0,0,False,False,False,False,111,0.0-143.0,2,649,[0],stimuli/0011111.jpg,130974,prediction_trial,168,image-keyboard-response,
332,Experiment 5,True,1,False,False,101,2,2,False,False,True,True,000,0.0-145.0,2,512,[2],stimuli/2101000.jpg,131549,prediction_trial,170,image-keyboard-response,
332,Experiment 5,True,1,True,True,001,1,1,True,True,True,True,100,0.0-147.0,1,639,[1],stimuli/1001100.jpg,132276,prediction_trial,172,image-keyboard-response,
332,Experiment 5,True,1,False,False,111,1,1,False,False,False,False,111,0.0-149.0,1,614,[1],stimuli/1111111.jpg,132931,prediction_trial,174,image-keyboard-response,
332,Experiment 5,True,1,False,True,100,0,0,False,True,True,True,000,0.0-151.0,0,591,[0],stimuli/0100000.jpg,133573,prediction_trial,176,image-keyboard-response,
332,Experiment 5,True,1,False,True,001,2,2,False,True,False,True,001,0.0-153.0,2,559,[2],stimuli/2001001.jpg,134180,prediction_trial,178,image-keyboard-response,
332,Experiment 5,True,1,True,True,011,0,0,True,True,True,True,001,0.0-155.0,0,559,[0],stimuli/0011001.jpg,134804,prediction_trial,180,image-keyboard-response,
332,Experiment 5,True,1,True,True,010,0,0,False,False,False,False,101,0.0-157.0,0,1161,[0],stimuli/0010101.jpg,136022,prediction_trial,182,image-keyboard-response,
332,Experiment 5,True,1,True,True,100,1,1,True,True,True,True,101,0.0-159.0,1,649,[1],stimuli/1100101.jpg,136701,prediction_trial,184,image-keyboard-response,
332,Experiment 5,True,1,True,True,000,1,1,False,True,False,True,010,0.0-161.0,1,752,[1],stimuli/1000010.jpg,137518,prediction_trial,186,image-keyboard-response,
332,Experiment 5,True,1,True,True,000,2,2,True,True,True,True,000,0.0-163.0,2,512,[2],stimuli/2000000.jpg,138109,prediction_trial,188,image-keyboard-response,
332,Experiment 5,False,0,True,True,101,1,1,False,False,False,False,111,0.0-165.0,0,647,[1],stimuli/1101111.jpg,138821,prediction_trial,190,image-keyboard-response,
332,Experiment 5,True,1,False,False,011,1,1,False,False,True,True,001,0.0-167.0,1,439,[1],stimuli/1011001.jpg,139333,prediction_trial,192,image-keyboard-response,
332,Experiment 5,True,1,True,True,100,2,2,True,True,True,True,110,0.0-169.0,2,463,[2],stimuli/2100110.jpg,139877,prediction_trial,194,image-keyboard-response,
