Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
665796285d33de58ac3f00ca,641397a5ea8f5954ad10fceb,AWAITING REVIEW,Not Applicable,2024-05-29T20:55:16.378000Z,2024-05-29T21:10:19.845000Z,,2024-05-29T21:12:03.297092Z,904.0,C15OJXAH,1749,51,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
6657962aaefcd1f383a6a4f4,632f09dfbcfe2edefdae1447,AWAITING REVIEW,Not Applicable,2024-05-29T20:55:11.915000Z,2024-05-29T21:01:52.670000Z,,2024-05-29T21:01:54.197052Z,401.0,C15OJXAH,2799,32,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
665797524d8acc7211fce1d4,6405feae7d6321bfaaf793e8,AWAITING REVIEW,Not Applicable,2024-05-29T21:00:08.749000Z,2024-05-29T21:06:19.510000Z,,2024-05-29T21:06:20.113738Z,371.0,C15OJXAH,3303,35,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
6657978989971b4f6cbee3ea,5a4c1ecaefd8df0001d34305,AWAITING REVIEW,Not Applicable,2024-05-29T21:01:03.496000Z,2024-05-29T21:09:20.641000Z,,2024-05-29T21:09:21.230075Z,498.0,C15OJXAH,6373,31,Male,White,United States,United States,United States,English,No,Full-Time
66579798a720deef8acb15bb,650fab251b0fd30bfabbedb3,AWAITING REVIEW,Not Applicable,2024-05-29T21:01:18.168000Z,2024-05-29T21:12:37.740000Z,,2024-05-29T21:12:47.812274Z,680.0,C15OJXAH,1182,40,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
665798f551cf2402886e651e,5ddeed7ba4aa26f9afcd1ef6,AWAITING REVIEW,Not Applicable,2024-05-29T21:07:06.110000Z,2024-05-29T21:17:15.956000Z,,2024-05-29T21:17:16.478607Z,610.0,C15OJXAH,2472,57,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66579cba74a8e5165543cb6c,627286792f25495f123cc27b,AWAITING REVIEW,Not Applicable,2024-05-29T21:23:10.557000Z,2024-05-29T21:30:51.696000Z,,2024-05-29T21:30:52.218277Z,462.0,C15OJXAH,4470,45,Male,Other,United States,United States,United States,English,No,Unemployed (and job seeking)
6657747f654c720f038557cc,57d88513995a0b0001635002,RETURNED,Not Applicable,2024-05-29T18:31:37.152000Z,,,,,,1677,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
665774ad430fdfc33377c1bd,5bacb6b9f2d97e0001c52a63,RETURNED,Not Applicable,2024-05-29T18:32:18.893000Z,,,,,,3470,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6657751ff0ec5f5cada7ec57,63d1787e133386074516c177,RETURNED,Not Applicable,2024-05-29T18:34:11.927000Z,,,,,,1272,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
