workerid,proliferate.condition,accuracy,accuracy_bool,alter_ball_visible,alter_can_infer,alter_occluders,ball_pos,character_choice,collective_ball_visible,collective_can_infer,ego_ball_visible,ego_can_infer,ego_occluders,filler_trial,internal_node_id,key_trial,response,rt,search_locations,stimulus,time_elapsed,trial,trial_index,trial_type,trick_trial,error
258,Experimen 4,True,1,False,True,010,3,1,False,True,True,True,110,False,0.0-323.0,False,1,1031,[1],stimuli/3010110.jpg,919865,prediction_trial,348,image-keyboard-response,True,
258,Experimen 4,False,0,False,False,101,2,0,False,False,False,False,111,False,0.0-325.0,True,2,1663,"[2, 0]",stimuli/2101111.jpg,922241,prediction_trial,350,image-keyboard-response,False,
258,Experimen 4,True,1,False,False,101,3,0,False,False,True,True,101,False,0.0-327.0,False,0,1544,"[0, 2]",stimuli/3101101.jpg,924354,prediction_trial,352,image-keyboard-response,True,
296,Experimen 4,False,0,False,False,110,1,0,False,False,False,False,110,False,0.0-5.0,True,1,3741,"[0, 1]",stimuli/1110110.jpg,152190,prediction_trial,30,image-keyboard-response,False,
296,Experimen 4,True,1,True,True,000,2,2,True,True,True,True,010,True,0.0-7.0,False,2,1549,[2],stimuli/2000010.jpg,154766,prediction_trial,32,image-keyboard-response,False,
296,Experimen 4,True,1,False,True,100,3,0,False,True,True,True,011,False,0.0-9.0,False,0,2502,[0],stimuli/3100011.jpg,158087,prediction_trial,34,image-keyboard-response,True,
296,Experimen 4,False,0,False,False,110,0,0,False,False,False,False,110,False,0.0-11.0,True,1,1706,"[1, 0]",stimuli/0110110.jpg,160765,prediction_trial,36,image-keyboard-response,False,
296,Experimen 4,False,0,False,False,110,1,0,False,False,False,False,111,False,0.0-13.0,True,1,2760,"[0, 1]",stimuli/1110111.jpg,164481,prediction_trial,38,image-keyboard-response,False,
296,Experimen 4,False,0,True,True,001,1,1,False,True,False,True,010,True,0.0-15.0,False,2,2943,[1],stimuli/1001010.jpg,168315,prediction_trial,40,image-keyboard-response,False,
296,Experimen 4,False,0,False,False,111,0,2,False,False,True,True,000,True,0.0-17.0,False,0,3290,"[1, 0, 2]",stimuli/0111000.jpg,172868,prediction_trial,42,image-keyboard-response,False,
