"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","prolific_study_id","prolific_session_id","rt","stimulus","response","view_history","trial","character_choice","stimulus_dict","accuracy","correct_response","ball_pos","ego_ball_visible","ego_can_infer","alter_ball_visible","alter_can_infer","collective_ball_visible","collective_can_infer","search_locations","alter_occluders","ego_occluders","accuracy_bool","feedback","age","ethnicity","gender","race","overall_accuracy","bonus"
"","","","","","image-keyboard-response","190","423873","0.0-138.0","5ec195df3f2aec276ff0bf33","665500ab8938657b03fbdba8","665792f1acebdfee506c15ca","584","stimuli/00101110.jpg"," ","","feedback_trial","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","191","424696","0.0-139.0","5ec195df3f2aec276ff0bf33","665500ab8938657b03fbdba8","665792f1acebdfee506c15ca","821","stimuli/1011011.jpg","2","","prediction_trial","2","","true","","1","false","false","false","false","false","false","[2,1]","011","011","1","","","","","","",""
"","","","","","image-keyboard-response","192","425190","0.0-140.0","5ec195df3f2aec276ff0bf33","665500ab8938657b03fbdba8","665792f1acebdfee506c15ca","492","stimuli/10110112.jpg"," ","","feedback_trial","2","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","193","426584","0.0-141.0","5ec195df3f2aec276ff0bf33","665500ab8938657b03fbdba8","665792f1acebdfee506c15ca","1391","stimuli/0111100.jpg","0","","prediction_trial","2","","false","","0","false","true","false","false","false","false","[2,1,0]","111","100","0","","","","","","",""
"","","","","","image-keyboard-response","194","427444","0.0-142.0","5ec195df3f2aec276ff0bf33","665500ab8938657b03fbdba8","665792f1acebdfee506c15ca","858","stimuli/01111002.jpg"," ","","feedback_trial","2","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","195","428329","0.0-143.0","5ec195df3f2aec276ff0bf33","665500ab8938657b03fbdba8","665792f1acebdfee506c15ca","882","stimuli/1101110.jpg","0","","prediction_trial","1","","false","","1","false","false","true","true","false","false","[1]","101","110","0","","","","","","",""
"","","","","","image-keyboard-response","196","429147","0.0-144.0","5ec195df3f2aec276ff0bf33","665500ab8938657b03fbdba8","665792f1acebdfee506c15ca","815","stimuli/11011101.jpg"," ","","feedback_trial","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","197","430656","0.0-145.0","5ec195df3f2aec276ff0bf33","665500ab8938657b03fbdba8","665792f1acebdfee506c15ca","1506","stimuli/1111111.jpg","1","","prediction_trial","2","","false","","1","false","false","false","false","false","false","[1,2,0]","111","111","0","","","","","","",""
"","","","","","image-keyboard-response","198","431430","0.0-146.0","5ec195df3f2aec276ff0bf33","665500ab8938657b03fbdba8","665792f1acebdfee506c15ca","772","stimuli/11111112.jpg"," ","","feedback_trial","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","199","431987","0.0-147.0","5ec195df3f2aec276ff0bf33","665500ab8938657b03fbdba8","665792f1acebdfee506c15ca","554","stimuli/1100010.jpg","1","","prediction_trial","1","","true","","1","false","true","true","true","false","true","[1]","100","010","1","","","","","","",""
"","","","","","image-keyboard-response","200","432532","0.0-148.0","5ec195df3f2aec276ff0bf33","665500ab8938657b03fbdba8","665792f1acebdfee506c15ca","542","stimuli/11000101.jpg"," ","","feedback_trial","1","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","201","434422","0.0-149.0","5ec195df3f2aec276ff0bf33","665500ab8938657b03fbdba8","665792f1acebdfee506c15ca","1888","stimuli/0001111.jpg","1","","prediction_trial","0","","false","","0","false","false","true","true","false","false","[0]","001","111","0","","","","","","",""
"","","","","","image-keyboard-response","202","435189","0.0-150.0","5ec195df3f2aec276ff0bf33","665500ab8938657b03fbdba8","665792f1acebdfee506c15ca","765","stimuli/00011110.jpg"," ","","feedback_trial","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","203","435961","0.0-151.0","5ec195df3f2aec276ff0bf33","665500ab8938657b03fbdba8","665792f1acebdfee506c15ca","770","stimuli/1000101.jpg","1","","prediction_trial","1","","true","","1","true","true","true","true","true","true","[1]","000","101","1","","","","","","",""
